table with row headers in column A and column headers in rows 3 through 4 (leading dots indicate sub-parts),,,,,,,,,,,,
"Annual Estimates of the Resident Population for Counties in Ohio: April 1, 2010 to July 1, 2019",,,,,,,,,,,,
Geographic Area,1-Apr-10,,Population Estimate (as of July 1),,,,,,,,,
,Census,Estimates Base,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Ohio,11536504,11536751,11539336,11544663,11548923,11576684,11602700,11617527,11634370,11659650,11676341,11689100
Adams County Ohio,28550,28541,28537,28459,28293,28089,28066,27926,27807,27753,27694,27698
Allen County Ohio,106331,106313,106358,105988,105244,105055,104848,104095,103613,103093,102725,102351
Ashland County Ohio,53139,53140,53321,53252,53239,53153,53161,53310,53520,53662,53706,53484
Ashtabula County Ohio,101497,101489,101403,101085,100252,99746,99027,98404,98171,97748,97587,97241
Athens County Ohio,64757,64764,65173,65079,64610,64594,64783,65886,66352,66503,65519,65327
Auglaize County Ohio,45949,45917,45898,45741,45770,45801,45737,45734,45766,45753,45736,45656
Belmont County Ohio,70400,70400,70333,70122,69709,69563,69367,68973,68606,68002,67533,67006
Brown County Ohio,44846,44826,44863,44629,44281,44111,43933,43697,43638,43523,43570,43432
Butler County Ohio,368130,368136,369102,370123,370550,371395,373750,375998,378354,380607,382000,383134
Carroll County Ohio,28836,28834,28846,28820,28538,28257,28129,27718,27621,27324,27082,26914
Champaign County Ohio,40097,40101,40078,39824,39573,39461,39078,38963,38741,38851,38785,38885
Clark County Ohio,138333,138339,138274,137811,137171,136638,136311,135746,134723,134549,134528,134083
Clermont County Ohio,197363,197366,197604,198859,199487,200447,201454,201995,203165,204260,205526,206428
Clinton County Ohio,42040,42048,41922,41913,41819,41864,41805,41839,41887,42004,42085,41968
Columbiana County Ohio,107841,107852,107890,107419,106620,105959,105621,104714,103817,103062,102473,101883
Coshocton County Ohio,36901,36900,36938,36931,36823,36723,36531,36577,36617,36536,36596,36600
Crawford County Ohio,43784,43783,43754,43310,42776,42713,42407,42324,42095,41710,41484,41494
Cuyahoga County Ohio,1280122,1280114,1278088,1270331,1266106,1265442,1263201,1258739,1254144,1247581,1241718,1235072
Darke County Ohio,52959,52968,52963,52653,52515,52306,52184,51981,51624,51549,51299,51113
Defiance County Ohio,39037,39026,39082,39005,38827,38564,38525,38326,38140,38156,38089,38087
Delaware County Ohio,174214,174172,175099,178535,181127,185380,189440,193391,197144,200870,205091,209177
Erie County Ohio,77079,77063,76978,76687,76428,76053,75809,75360,74999,74760,74513,74266
Fairfield County Ohio,146156,146194,146417,147174,147301,148796,150360,151254,152789,154686,155982,157574
Fayette County Ohio,29030,29034,29014,28867,28767,28686,28650,28611,28670,28639,28653,28525
Franklin County Ohio,1163414,1163476,1166202,1180800,1199045,1218878,1238362,1257386,1274450,1295510,1307698,1316756
Fulton County Ohio,42698,42698,42629,42363,42330,42199,42403,42301,42306,42265,42267,42126
Gallia County Ohio,30934,30942,31072,31031,30886,30685,30463,30249,30186,30162,29945,29898
Geauga County Ohio,93389,93405,93389,93292,93771,93846,93979,93894,93845,93881,93945,93649
Greene County Ohio,161573,161577,161588,163566,164335,163907,164673,164272,165290,166566,167446,168937
Guernsey County Ohio,40087,40092,40155,39910,39876,39706,39690,39392,39211,39066,39011,38875
Hamilton County Ohio,802374,802371,802278,800658,802409,805182,807617,809527,811332,814170,815445,817473
Hancock County Ohio,74782,74789,74689,74912,75459,75581,75281,75678,75831,75973,75920,75783
Hardin County Ohio,32058,32063,32127,31806,31632,31747,31784,31616,31398,31329,31418,31365
Harrison County Ohio,15864,15860,15825,15790,15684,15602,15519,15395,15252,15202,15167,15040
Henry County Ohio,28215,28215,28171,28002,27824,27824,27597,27481,27282,27179,27091,27006
Highland County Ohio,43589,43606,43621,43378,42964,43195,43093,42960,43006,42903,43052,43161
Hocking County Ohio,29380,29369,29478,29466,29304,28653,28743,28500,28393,28436,28357,28264
Holmes County Ohio,42366,42363,42473,42793,43128,43604,43788,43882,43847,43895,43919,43960
Huron County Ohio,59626,59623,59560,59416,59204,58825,58610,58307,58367,58393,58364,58266
Jackson County Ohio,33225,33219,33248,33124,32869,32801,32761,32559,32528,32386,32366,32413
Jefferson County Ohio,69709,69716,69670,69035,68538,68168,67876,67495,66944,66318,65774,65325
Knox County Ohio,60921,60928,61090,61283,60764,60858,61000,61001,60909,61271,61900,62322
Lake County Ohio,230041,230051,230014,229988,229564,230075,229857,229836,229525,230159,230102,230149
Lawrence County Ohio,62450,62448,62424,62415,62146,61858,61539,60923,60691,60075,59767,59463
Licking County Ohio,166492,166482,166705,167164,167589,168461,169410,170611,171993,173617,175666,176862
Logan County Ohio,45858,45848,45743,45623,45410,45393,45473,45250,45128,45198,45332,45672
Lorain County Ohio,301356,301374,301478,301874,301712,303098,304464,305417,306607,307441,309052,309833
Lucas County Ohio,441815,441815,441434,439359,436753,436156,434585,433633,432879,431039,429612,428348
Madison County Ohio,43435,43438,43434,43114,42991,43256,43980,44139,43377,44041,44389,44731
Mahoning County Ohio,238823,238787,238381,237363,235702,234393,233391,231846,230269,229791,229216,228683
Marion County Ohio,66501,66505,66458,66599,66277,65964,65791,65431,65467,65076,65427,65093
Medina County Ohio,172332,172333,172509,173504,173623,174639,175855,176126,176876,178176,178978,179746
Meigs County Ohio,23770,23767,23731,23648,23572,23443,23277,23180,23166,23071,23064,22907
Mercer County Ohio,40814,40816,40788,40715,40705,40615,40730,40723,40715,40858,40952,41172
Miami County Ohio,102506,102503,102487,102734,102934,103213,103856,104075,104553,105200,106042,106987
Monroe County Ohio,14642,14631,14609,14613,14502,14503,14357,14253,14083,13931,13787,13654
Montgomery County Ohio,535153,535200,535597,534558,534334,534270,532488,531777,531818,531467,531600,531687
Morgan County Ohio,15054,15044,15034,15036,14930,14894,14730,14735,14733,14644,14581,14508
Morrow County Ohio,34827,34825,34790,34810,34834,34846,34937,34943,34922,34911,35113,35328
Muskingum County Ohio,86074,86086,86214,86243,85794,85649,85905,86194,85993,86123,86131,86215
Noble County Ohio,14645,14655,14660,14752,14677,14678,14532,14467,14441,14400,14347,14424
Ottawa County Ohio,41428,41433,41359,41320,41242,41035,40903,40754,40488,40623,40769,40525
Paulding County Ohio,19614,19610,19557,19369,19248,19143,18975,18959,18839,18831,18742,18672
Perry County Ohio,36058,36037,36037,36232,35984,36000,35926,35967,35998,35972,36039,36134
Pickaway County Ohio,55698,55684,55740,55948,56237,56355,56704,56989,57545,57740,58077,58457
Pike County Ohio,28709,28571,28612,28479,28371,28272,28181,28117,28093,28088,27932,27772
Portage County Ohio,161419,161424,161386,161875,161383,161695,162463,162594,162521,162473,162502,162466
Preble County Ohio,42270,42254,42170,41986,41812,41671,41495,41297,41157,41116,41011,40882
Putnam County Ohio,34499,34496,34476,34385,34207,34123,34198,34026,34007,33860,33802,33861
Richland County Ohio,124475,124474,124162,123144,122633,122314,121999,121688,121242,120430,120987,121154
Ross County Ohio,78064,78076,78098,77581,77341,77283,77095,77049,76848,77295,76884,76666
Sandusky County Ohio,60944,60946,60885,60609,60467,60049,59827,59475,59317,59093,58740,58518
Scioto County Ohio,79499,79650,79664,79408,78783,78304,77476,76992,76436,75976,75480,75314
Seneca County Ohio,56745,56742,56618,56522,56106,55847,55803,55650,55467,55267,55194,55178
Shelby County Ohio,49423,49455,49349,49259,49159,49203,48995,49030,48765,48738,48622,48590
Stark County Ohio,375586,375591,375372,374511,374891,375108,375546,374715,373447,372003,371248,370606
Summit County Ohio,541781,541772,541645,541325,540726,541926,542445,541788,541003,541514,541353,541013
Trumbull County Ohio,210312,210332,209840,208834,207191,206328,204973,203328,201715,200281,198539,197974
Tuscarawas County Ohio,92582,92585,92543,92483,92413,92602,92652,92739,92560,92308,92079,91987
Union County Ohio,52300,52331,52464,53095,52796,53436,53773,54388,55581,56798,57782,58988
Van Wert County Ohio,28744,28759,28678,28625,28636,28347,28334,28319,28177,28283,28253,28275
Vinton County Ohio,13435,13430,13405,13380,13221,13303,13210,13082,13022,13082,13145,13085
Warren County Ohio,212693,212798,213429,215332,217212,219216,221267,223864,226539,228709,231945,234602
Washington County Ohio,61778,61787,61713,61607,61447,61364,61160,61020,60598,60491,60111,59911
Wayne County Ohio,114520,114516,114394,114649,115029,115400,115912,116214,116613,116168,115790,115710
Williams County Ohio,37642,37652,37512,37584,37521,37426,37195,37007,36937,36707,36739,36692
Wood County Ohio,125488,125489,125950,127124,128425,129013,129337,129285,129768,130437,130441,130817
Wyandot County Ohio,22615,22617,22588,22643,22545,22460,22283,22176,22071,22063,21918,21772
"Note: The estimates are based on the 2010 Census and reflect changes to the April 1, 2010 population due to the Count Question Resolution program and geographic program revisions. All geographic boundaries for the 2019 population estimates are as of January 1, 2019. For population estimates methodology statements, see http://www.census.gov/programs-surveys/popest/technical-documentation/methodology.html.",,,,,,,,,,,,
Suggested Citation:,,,,,,,,,,,,
"Annual Estimates of the Resident Population for Counties in Ohio: April 1, 2010 to July 1, 2019 (CO-EST2019-ANNRES-39)",,,,,,,,,,,,
"Source: U.S. Census Bureau, Population Division",,,,,,,,,,,,
Release Date: March 2020,,,,,,,,,,,,
